Id,Label,tipo,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,nodecolor-multimode,X,Y,Size,Color
0000ccace97501f92535d131962ea97d,,User,0,14,14,1,1,1,0,1,91,red,400.048737,169.641342,10,"#000000"
26288cd05a9c9505cbc67490913624a8,,User,1,13,14,1,1,1,0,1,91,blue,401.159943,269.207825,10,"#000000"
3409853e35408827a292026277c823c0,,User,2,12,14,1,1,1,0,1,91,blue,-56.098812,-156.128342,10,"#000000"
736e4425e6cd37e7ed441642a324cbdd,,User,3,11,14,1,1,1,0,1,91,blue,-293.21402,-162.932999,10,"#000000"
84865d2dc2e4f8f9e95fea3309d12ebe,,User,4,10,14,1,1,1,0,1,91,blue,-313.768341,-313.784729,10,"#000000"
8bf16cd11b5367af63634ac11e0e4c4e,,User,5,9,14,1,1,1,0,1,91,blue,-342.517242,-436.495453,10,"#000000"
91d802b9f81c45c9ced7a96aa187b4e8,,User,6,8,14,1,1,1,0,1,91,blue,341.174042,-258.734772,10,"#000000"
9e7912a0dc38b121d37a7285354d5ca1,,User,7,7,14,1,1,1,0,1,91,blue,-36.70657,461.376709,10,"#000000"
a5c3b188a3fba948f1778b2a6cf47912,,User,8,6,14,1,1,1,0,1,91,blue,-97.649559,-198.482681,10,"#000000"
b40a51577c2b9e6584dbc7e221c6d8a4,,User,9,5,14,1,1,1,0,1,91,blue,266.241852,277.806458,10,"#000000"
bbbead973c720c67caa0bf6aa8ddf579,,User,10,4,14,1,1,1,0,1,91,blue,-200.768127,-203.346359,10,"#000000"
c0be09537ab32bc8baf1678f24d546f8,,User,11,3,14,1,1,1,0,1,91,blue,-231.142029,202.208237,10,"#000000"
c34cb39b379c21901365a9c115b4a080,,User,12,2,14,1,1,1,0,1,91,blue,-28.714136,84.110519,10,"#000000"
d1d0276cacc4382ac1dfd76d97c023fe,,User,13,1,14,1,1,1,0,1,91,blue,-214.855896,-121.677078,10,"#000000"
d53f046788f0bd91340bf5b5b07e3fa7,,User,14,0,14,1,1,1,0,1,91,blue,127.275063,167.328232,10,"#000000"
002694124837df32845e783edba3435a,,User,0,7,7,1,1,1,0,1,21,red,63.865269,-338.790405,10,"#000000"
3d4e77cea17b1812993b55543e81400e,,User,1,6,7,1,1,1,0,1,21,blue,-182.577087,-295.00531,10,"#000000"
455c52ceb8d6f492188beb4a465cc1f7,,User,2,5,7,1,1,1,0,1,21,blue,-389.974945,-462.316315,10,"#000000"
78158d517e5b9f1eb29af254597c6fc1,,User,3,4,7,1,1,1,0,1,21,blue,-412.235748,-457.241547,10,"#000000"
9f518dea83f0e69e2779522f34edb95b,,User,4,3,7,1,1,1,0,1,21,blue,387.613983,-362.523071,10,"#000000"
f14ae128ee4be283929ea7a18c3c19e6,,User,5,2,7,1,1,1,0,1,21,blue,408.849884,-101.69902,10,"#000000"
f26c46cfdd998de86fb4aff353d319cd,,User,6,1,7,1,1,1,0,1,21,blue,-274.806915,-197.565018,10,"#000000"
fae01c58e9f679ab2f687e9bfaf2c8d2,,User,7,0,7,1,1,1,0,1,21,blue,-224.924286,-238.6772,10,"#000000"
003141a24a9b11f229a74931663d98ec,,User,0,80,80,5,0.383907,0.430388,0,1,3160,red,465.60495,252.35759,10,"#000000"
04d0571accc3a853ebbba0bb27ae200f,,User,1,128,129,5,0.39087,0.446637,356.307133,0.757267,6252,blue,356.259186,31.910387,10,"#000000"
07e492da1568584bb3f030fb7fc1f9bc,,User,2,78,80,5,0.383907,0.430388,0,1,3160,blue,-97.923119,-11.374953,10,"#000000"
08868550eed1cfc8a077d4b5a4471d54,,User,3,77,80,5,0.383907,0.430388,0,1,3160,blue,-150.313477,-86.083054,10,"#000000"
09572dc67baa60962354b110bf823350,,User,4,125,129,5,0.39087,0.446637,356.307133,0.757267,6252,blue,325.211334,210.543869,10,"#000000"
0e05e4dc53a667ae017359d3d5275825,,User,5,75,80,5,0.383907,0.430388,0,1,3160,blue,-271.293854,-395.597137,10,"#000000"
1402fdf6cc5bf068959548a69598dd05,,User,6,74,80,5,0.383907,0.430388,0,1,3160,blue,-431.16748,-315.616455,10,"#000000"
1b1528014d012dd308330d186af46f42,,User,7,122,129,5,0.39087,0.446637,356.307133,0.757267,6252,blue,-86.954094,375.845459,10,"#000000"
1bc29e352ce8cb12b8231bd66a601aa5,,User,8,72,80,5,0.383907,0.430388,0,1,3160,blue,287.386322,-298.634888,10,"#000000"
1c4d46b5b67c2105e14fb185d6536db2,,User,9,120,129,5,0.39087,0.446637,356.307133,0.757267,6252,blue,-3.618312,-265.25647,10,"#000000"
207f1fa3b8870d96b29cae49209f3598,,User,10,119,129,5,0.39087,0.446637,356.307133,0.757267,6252,blue,-176.433929,-11.597732,10,"#000000"
210ca8bcf4790421117661f5faf7d2f8,,User,11,69,80,5,0.383907,0.430388,0,1,3160,blue,-441.711395,458.403564,10,"#000000"
