Id,Label,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,stat_inf_class,componentnumber,X,Y,Size,Color
2b69d54adfd2856cc034771406b2b473,,36,168,204,6,0.419473,0.505049,0,1,20706,63,1,132.811996,-195.747284,10,"#000000"
2cc1a2ca355ba7e451da4c888c2a3634,,37,167,204,6,0.419473,0.505049,0,1,20706,85,1,-327.077087,-68.581108,10,"#000000"
2d0faff9778b3c585ca388962542ef21,,38,166,204,6,0.419473,0.505049,0,1,20706,293,1,-85.72953,-182.755859,10,"#000000"
2d605bc24394c0da876e439c80785ca0,,39,262,301,6,0.433819,0.541788,12914.244199,0.574352,25932,143,1,211.537888,-127.511284,10,"#000000"
300ca96b2212dacea5a4cf31c535063f,,40,164,204,6,0.419473,0.505049,0,1,20706,65,1,144.595566,-24.00573,10,"#000000"
3166a089279d0e381158dc5fc78b1d00,,41,163,204,6,0.419473,0.505049,0,1,20706,67,1,-199.436539,-417.155762,10,"#000000"
325e15193d1f2c7712aa587bd2ad3257,,42,162,204,6,0.419473,0.505049,0,1,20706,295,1,291.728516,480.161682,10,"#000000"
33a78db7ff144666ebe85457818f1152,,43,161,204,6,0.419473,0.505049,0,1,20706,67,1,72.42382,370.101318,10,"#000000"
3463275598ebc109a2fc308c2788ede6,,44,160,204,6,0.419473,0.505049,0,1,20706,66,1,71.960258,325.104858,10,"#000000"
34cd2742a9580fbfa70b6e1225bc31b9,,45,159,204,6,0.419473,0.505049,0,1,20706,42,1,252.439072,146.667603,10,"#000000"
351f767b906ae5cfb4d7acaea91ffbd2,,46,158,204,6,0.419473,0.505049,0,1,20706,68,1,368.249329,305.749451,10,"#000000"
36a8a54f9448dfa5b13825aaaad15ab2,,47,157,204,6,0.419473,0.505049,0,1,20706,295,1,-347.642212,381.219116,10,"#000000"
392905d89a78c3db7475d324e316cd6c,,48,156,204,6,0.419473,0.505049,0,1,20706,192,1,102.870537,313.630859,10,"#000000"
3ae72e29e63a0d58a413145ee1e2f299,,49,155,204,6,0.419473,0.505049,0,1,20706,70,1,477.122681,-182.877197,10,"#000000"
3b8da250c810b14a695a44e084a92252,,50,154,204,6,0.419473,0.505049,0,1,20706,71,1,20.724968,-455.180573,10,"#000000"
41487d15026342f99c8db4d1aece2b45,,51,153,204,6,0.419473,0.505049,0,1,20706,267,1,132.156174,75.999275,10,"#000000"
4178641a9485eae0e3a25311fa386138,,52,152,204,6,0.419473,0.505049,0,1,20706,57,1,371.86615,120.222481,10,"#000000"
42adc49445e0a13c1dae0828188c7886,,53,151,204,6,0.419473,0.505049,0,1,20706,58,1,-483.695984,39.034859,10,"#000000"
4324949b43db970b041253bfb048f444,,54,150,204,6,0.419473,0.505049,0,1,20706,104,1,295.275635,-465.201721,10,"#000000"
47ae177a0ac1a8deb5e6c03d1116ee7e,,55,149,204,6,0.419473,0.505049,0,1,20706,118,1,364.675171,204.315186,10,"#000000"
49ef74ce5045c80370555d2da3108702,,56,148,204,6,0.419473,0.505049,0,1,20706,75,1,300.646729,298.505615,10,"#000000"
4a3935b5f18118bae92ad984079ba441,,57,147,204,6,0.419473,0.505049,0,1,20706,93,1,-434.02887,55.367439,10,"#000000"
4b44334cc5e4c42d35213f08916bdcab,,61,225,286,6,0.441366,0.542883,65938.602436,0.550558,22438,319,1,-379.088318,109.350533,10,"#000000"
51253e89f484abf63a8e1f97d4a6eb33,,59,145,204,6,0.419473,0.505049,0,1,20706,99,1,-479.505035,-155.738159,10,"#000000"
549c4ee5389ac633450056385e81e3c5,,60,151,211,6,0.420374,0.507603,9541,0.935545,20727,297,1,365.475342,-92.316948,10,"#000000"
555aec368731a6157b9827aecc4409e3,,61,143,204,6,0.419473,0.505049,0,1,20706,72,1,27.886467,92.037849,10,"#000000"
58c4fc6fd4fa3ed7f81b7ef4c39734bb,,62,142,204,6,0.419473,0.505049,0,1,20706,74,1,342.592834,200.933777,10,"#000000"
59788792e46214ef9925e3f1499caa41,,63,141,204,6,0.419473,0.505049,0,1,20706,116,1,-102.27253,-460.117249,10,"#000000"
598021b82aaea010de70e09623a35ae3,,64,234,298,6,0.433407,0.540693,8813.244199,0.585926,25929,145,1,139.057541,119.270454,10,"#000000"
59a0e3ca55612b68c28b9e96cdbadaf2,,65,233,298,6,0.433407,0.540693,8813.244199,0.585926,25929,148,1,461.515381,246.407288,10,"#000000"
